MinTemp,MaxTemp,WindGustDir,WindGustSpeed,Humidity,Pressure,Temp,RainTomorrow
8.0,24.3, nw  ,30.0,29.0,1015.0,23.6,Yes
14.0,26.9, ene  ,39.0,36.0,1008.4,25.7,Yes
13.3,15.5, nw  ,54.0,56.0,1007.0,14.1,Yes
7.6,16.1, sse  ,50.0,49.0,1018.5,15.4,No
7.232634730538922,16.9, nan  ,44.0,high,1021.7,14.8,No
6.1,18.2, se  ,43.0,47.0,1022.2,17.3,No
8.3,17.0, e  ,41.0,57.0,1024.2,15.5,No
8.8,19.5, s  ,39.91238670694864,48.0,1022.7,18.9,No
8.4,22.8, e  ,31.0,32.0,1020.7,21.7,No
7.232634730538922,25.2, n  ,30.0,34.0,low,24.0,No
8.5,27.3, e  ,41.0,35.0,1019.9,26.0,No
10.1,27.9, wnw  ,30.0,29.0,1017.1,27.1,No
7.232634730538922,20.427245508982036, nw  ,44.0,20.0,1019.3,30.7,No
10.1,20.427245508982036, nw  ,41.0,34.0,1013.7,30.4,No
12.4,32.1, e  ,46.0,22.0,1012.8,30.7,No
13.8,31.2, ese  ,44.0,23.0,1009.8,29.8,Yes
11.7,30.0, s  ,52.0,34.0,1013.0,19.254790419161676,No
12.4,20.427245508982036, e  ,39.0,25.0,1013.3,31.2,No
15.6,33.4, ne  ,33.0,27.0,1013.7,32.0,No
15.3,33.4, wnw  ,59.0,34.0,1006.5,32.8,No
7.232634730538922,19.4, e  ,26.0,72.0,1008.9,18.3,Yes
12.8,18.5, ese  ,28.0,79.0,1014.9,16.8,No
12.0,24.3, nne  ,26.0,57.0,1019.3,19.254790419161676,No
15.4,28.4, ene  ,33.0,31.0,1018.6,27.3,No
15.6,26.9, e  ,41.0,34.0,1016.5,25.1,No
7.232634730538922,22.2, ene  ,39.91238670694864,34.0,1018.6,21.2,No
12.9,28.0, s  ,52.0,31.0,1014.8,26.7,No
15.1,20.427245508982036, se  ,39.0,80.0,1019.3,19.7,No
13.6,24.1, nnw  ,30.0,49.0,1013.3,23.2,Yes
15.1,20.4, sse  ,41.0,90.0,1014.1,16.3,Yes
11.6,26.3, nne  ,41.0,34.0,1009.5,25.2,No
16.6,24.2, nw  ,50.0,60.0,1004.6,19.9,Yes
13.3,26.5, nw  ,50.0,40.0,1006.3,25.1,No
14.5,21.8, nan  ,43.0,63.0,1015.3,19.254790419161676,No
16.3,26.8, ene  ,39.0,54.0,1016.1,24.5,No
17.2,25.8, sw  ,41.0,74.0,1011.5,22.6,Yes
7.232634730538922,28.2, nan  ,39.0,42.0,1011.4,26.3,No
15.0,29.4, nw  ,39.91238670694864,24.0,1008.5,28.6,No
14.9,24.8, nnw  ,39.91238670694864,37.0,1010.4,22.9,No
11.8,18.5, ene  ,35.0,63.0,1017.4,16.4,No
11.7,20.427245508982036, ene  ,39.91238670694864,51.0,1019.6,19.4,No
9.6,20.3, nan  ,39.0,49.0,1019.3,19.2,No
7.232634730538922,27.1, e  ,35.0,37.0,1012.5,25.0,No
10.1,29.9, nan  ,41.0,36.0,1010.2,29.1,Yes
15.5,21.1, s  ,39.91238670694864,86.0,1008.6,19.254790419161676,Yes
10.8,21.7, ese  ,48.0,40.0,1016.8,19.254790419161676,No
7.5,20.9, ene  ,39.0,43.0,1018.3,19.8,No
12.8,20.427245508982036, nan  ,22.0,54.0,1015.6,19.254790419161676,Yes
12.6,23.1, nnw  ,30.0,74.0,1014.1,20.4,Yes
14.8,29.5, n  ,41.0,48.0,1008.3,28.2,Yes
9.2,20.4, ene  ,39.0,49.0,1009.1,18.8,No
12.4,24.4, nw  ,44.0,43.0,1009.7,22.5,Yes
11.3,21.7, e  ,41.0,52.0,1019.1,21.0,No
7.232634730538922,26.3, nnw  ,41.0,35.0,1018.0,19.254790419161676,No
14.3,26.7, nan  ,65.0,64.0,1014.3,19.0,No
15.1,28.3, nnw  ,39.91238670694864,44.0,1019.3,27.4,No
14.4,31.6, nnw  ,30.0,30.0,1014.2,30.3,No
15.4,35.0, e  ,39.0,18.0,1015.0,34.3,No
13.8,33.5, ne  ,31.0,20.0,1015.6,32.2,No
7.232634730538922,34.2, nne  ,35.0,20.0,1011.6,31.8,No
7.232634730538922,35.0, ese  ,41.0,34.0,1008.7,19.254790419161676,No
15.9,20.427245508982036, nan  ,50.0,55.0,1016.3,22.3,No
16.7,25.3, nan  ,46.0,45.0,1013.0,23.9,No
12.1,20.427245508982036, ne  ,35.0,34.0,1007.4,26.8,No
14.3,34.1, ene  ,39.0,34.0,1003.3,31.9,No
