WindGustSpeed,WindGustDir,Humidity,Pressure,Temp,RainTomorrow,MaxTemp,MinTemp
30.0, nw  ,29.0,1015.0,23.6,yes,24.3,8.0
39.0, ene  ,36.0,1008.4,25.7,yes,26.9,14.0
85.0, nw  ,69.0,1007.2,20.2,yes,,13.7
54.0, nw  ,56.0,1007.0,14.1,yes,15.5,13.3
50.0, sse  ,49.0,1018.5,15.4,NO,16.1,7.6
44.0, nan  ,high,1021.7,14.8,NO,16.9,
43.0, se  ,47.0,1022.2,17.3,no,18.2,6.1
41.0, e  ,57.0,1024.2,15.5,NO,17.0,8.3
, s  ,48.0,1022.7,18.9,nan,19.5,8.8
31.0, e  ,32.0,1020.7,21.7,no,22.8,8.4
30.0, n  ,34.0,low,24.0,NO,25.2,
41.0, e  ,35.0,1019.9,26.0,NO,27.3,8.5
30.0, wnw  ,29.0,1017.1,27.1,NO,27.9,10.1
44.0, nw  ,20.0,,30.7,NO,,
41.0, nw  ,,1013.7,30.4,no,,10.1
46.0, e  ,22.0,1012.8,30.7,no,32.1,12.4
44.0, ese  ,23.0,1009.8,29.8,YES,31.2,13.8
52.0, s  ,,1013.0,,NO,30.0,11.7
39.0, e  ,25.0,1013.3,31.2,no,,12.4
33.0, ne  ,27.0,1013.7,32.0,NO,33.4,15.6
59.0, wnw  ,,1006.5,32.8,NO,33.4,15.3
26.0, e  ,72.0,1008.9,18.3,yes,19.4,
28.0, ese  ,79.0,1014.9,16.8,no,18.5,12.8
26.0, nne  ,57.0,,,NO,24.3,12.0
33.0, ene  ,31.0,1018.6,27.3,no,28.4,15.4
41.0, e  ,,1016.5,25.1,NO,26.9,15.6
, ene  ,,1018.6,21.2,no,22.2,
52.0, s  ,31.0,1014.8,26.7,NO,28.0,12.9
39.0, se  ,80.0,,19.7,nan,,15.1
30.0, nnw  ,49.0,1013.3,23.2,yes,24.1,13.6
41.0, sse  ,90.0,1014.1,16.3,YES,20.4,15.1
41.0, nne  ,,1009.5,25.2,NO,26.3,11.6
50.0, nw  ,60.0,1004.6,19.9,yes,24.2,16.6
50.0, nw  ,40.0,1006.3,25.1,no,26.5,13.3
43.0, nan  ,63.0,1015.3,,NAN,21.8,14.5
39.0, ene  ,54.0,1016.1,24.5,no,26.8,16.3
41.0, sw  ,74.0,1011.5,22.6,yes,25.8,17.2
39.0, nan  ,42.0,1011.4,26.3,NO,28.2,
, nw  ,24.0,1008.5,28.6,NO,29.4,15.0
, nnw  ,37.0,1010.4,22.9,NO,24.8,14.9
35.0, ene  ,63.0,1017.4,16.4,NAN,18.5,11.8
, ene  ,51.0,1019.6,19.4,NO,,11.7
39.0, nan  ,49.0,1019.3,19.2,nan,20.3,9.6
35.0, e  ,37.0,1012.5,25.0,no,27.1,
41.0, nan  ,36.0,1010.2,29.1,yes,29.9,10.1
, s  ,86.0,1008.6,,YES,21.1,15.5
48.0, ese  ,40.0,1016.8,,no,21.7,10.8
39.0, ene  ,43.0,1018.3,19.8,no,20.9,7.5
22.0, nan  ,54.0,1015.6,,YES,,12.8
30.0, nnw  ,74.0,1014.1,20.4,yes,23.1,12.6
41.0, n  ,48.0,1008.3,28.2,yes,29.5,14.8
76.0, nnw  ,62.0,996.8,19.6,YES,22.0,19.9
39.0, ene  ,49.0,1009.1,18.8,no,20.4,9.2
44.0, nw  ,43.0,1009.7,22.5,YES,24.4,12.4
41.0, e  ,52.0,1019.1,21.0,NO,21.7,11.3
41.0, nnw  ,35.0,1018.0,,NO,26.3,
65.0, nan  ,64.0,1014.3,19.0,nan,26.7,14.3
